family	appearence	cons_length	monomer_proportion	rpt_limit	species
subclass_1	1384	229	0.5	8.1	Acropora_millepora
subclass_10	1	869	0	2	Acropora_millepora
subclass_12	1	315	0	2	Acropora_millepora
subclass_13	1	426	0	2.3	Acropora_millepora
subclass_16	111	70	0.96	2	Acropora_millepora
subclass_17	26	552	0.89	3.4	Acropora_millepora
subclass_18	912	87	1	2	Acropora_millepora
subclass_19	98	181	0.98	1.8	Acropora_millepora
subclass_2	6213	295	0.97	16.3	Acropora_millepora
subclass_22	10	665	0.82	2.1	Acropora_millepora
subclass_3	1280	227	0.45	31.1	Acropora_millepora
subclass_5	4643	68	0.97	8.4	Acropora_millepora
subclass_7	11	963	0.64	3.4	Acropora_millepora
subclass_8	68	128	0.97	1.9	Acropora_millepora
subclass_9	575	59	0.97	2	Acropora_millepora
subclass_1	48990	331	0.33	83.4	Ambystoma_mexicanum
subclass_10	1337	493	0.21	17.6	Ambystoma_mexicanum
subclass_100	3	276	0.4	3.7	Ambystoma_mexicanum
subclass_101	1	184	0	2.8	Ambystoma_mexicanum
subclass_105	6	351	0.71	2	Ambystoma_mexicanum
subclass_106	11	504	0.5	6.7	Ambystoma_mexicanum
subclass_107	7	565	0.75	2	Ambystoma_mexicanum
subclass_109	407	439	0.73	2.5	Ambystoma_mexicanum
subclass_11	9065	331	0.25	55.3	Ambystoma_mexicanum
subclass_110	162	797	0.99	2	Ambystoma_mexicanum
subclass_111	1	70	0	38.3	Ambystoma_mexicanum
subclass_115	4	622	0.6	2.7	Ambystoma_mexicanum
subclass_119	1	886	0	2	Ambystoma_mexicanum
subclass_12	224	475	0.5	4	Ambystoma_mexicanum
subclass_123	1441	296	0.51	1.8	Ambystoma_mexicanum
subclass_124	1129	322	0.31	3.5	Ambystoma_mexicanum
subclass_125	2	249	0.33	2	Ambystoma_mexicanum
subclass_128	7156	257	0.32	2.9	Ambystoma_mexicanum
subclass_13	410	488	0.41	8.6	Ambystoma_mexicanum
subclass_132	78	731	0.97	2	Ambystoma_mexicanum
subclass_135	391	350	0.44	4.9	Ambystoma_mexicanum
subclass_138	3149	307	0.14	7.7	Ambystoma_mexicanum
subclass_14	521	445	0.69	2.6	Ambystoma_mexicanum
subclass_144	1	398	0	2	Ambystoma_mexicanum
subclass_146	2	876	0.05	20.3	Ambystoma_mexicanum
subclass_147	251	369	0.99	2	Ambystoma_mexicanum
subclass_148	2240	298	0.23	2.7	Ambystoma_mexicanum
subclass_15	38175	324	0.27	55	Ambystoma_mexicanum
subclass_155	120	89	0.98	2	Ambystoma_mexicanum
subclass_16	626	480.5	0.57	4.9	Ambystoma_mexicanum
subclass_163	5	180	0.67	2	Ambystoma_mexicanum
subclass_17	52813	350	0.33	64.6	Ambystoma_mexicanum
subclass_18	490	422	0.71	18.2	Ambystoma_mexicanum
subclass_19	528	459	0.59	6.1	Ambystoma_mexicanum
