species	active_count	rpt_limit	family_num	monomer_proportion
Acropora_millepora	218	31.1	15	0.89
Ambystoma_mexicanum	14255	180.3	83	0.42
Amphilophus_citrinellus	32	30.5	10	0.01
Anas_platyrhynchos	0	0	0	0
Anolis_carolinensis	426	25.9	48	0.91
Aquila_chrysaetos_chrysaetos	0	0	0	0
Bufo_bufo	65	17	35	0.95
Bungarus_multicinctus	1278	32.8	51	0.82
Callorhinchus_milii	8	3.6	5	0.81
Chionodraco_hamatus	0	0	0	0
Corvus_cornix_cornix	0	0	0	0
Crocodylus_porosus	0	0	0	0
Cyprinus_carpio	9	49.9	1	0.07
Danio_rerio	0	0	0	0
Drosophila_melanogaster	0	0	0	0
Equus_caballus	0	0	0	0
Gadus_morhua	0	0	0	0
Geotrypetes_seraphini	81	65	22	0.835
Gopherus_evgoodei	32	12.1	7	0.98
Homo_sapiens	0	0	0	0
Latimeria_chalumnae	92	9.8	8	0.655
Monodelphis_domestica	0	0	0	0
Myiopsitta_monachus	0	0	0	0
Myotis_lucifugus	0	0	0	0
Neomonachus_schauinslandi	0	0	0	0
Ophonus_ardosiacus	298	299.6	24	0.445
Rana_temporaria	29	6.1	25	0.62
Salmo_salar	2	4.8	1	0.96
Takifugu_rubripes	12	27.9	1	0.08
Tribolium_freemani	14	5.9	1	0.57
Tursiops_truncatus	0	0	0	0
Xenopus_borealis	31	17	22	0.855
Xenopus_laevis	28	4	21	0.89
Xenopus_tropicalis	44	16.9	14	0.865
Zootoca_vivipara	11	10.3	5	0.97
