Acropora millepora	 Anthozoa
Ambystoma mexicanum	 Amphibia
Amphilophus citrinellus	 Actinopterygii
Anas platyrhynchos	 Aves
Anolis carolinensis	 Reptilia
Aquila chrysaetos chrysaetos	 Aves
Bufo bufo	 Amphibia
Bungarus multicinctus	 Reptilia
Callorhinchus milii	 Chondrichthyes
Chionodraco hamatus	 Actinopterygii
Corvus cornix cornix	 Aves
Crocodylus porosus	 Reptilia
Cyprinus carpio	 Actinopterygii
Danio rerio	 Actinopterygii
Drosophila melanogaster	 Insecta
Equus caballus	 Mammalia
Gadus morhua	 Actinopterygii
Geotrypetes seraphini	 Amphibia
Gopherus evgoodei	 Reptilia
Homo sapiens	 Mammalia
Latimeria chalumnae	 Sarcopterygii
Monodelphis domestica	 Mammalia
Myiopsitta monachus	 Aves
Myotis lucifugus	 Mammalia
Neomonachus schauinslandi	 Mammalia
Ophonus ardosiacus	 Insecta
Rana temporaria	 Amphibia
Salmo salar	 Actinopterygii
Takifugu rubripes	 Actinopterygii
Tribolium freemani	 Insecta
Tursiops truncatus	 Mammalia
Xenopus borealis	 Amphibia
Xenopus laevis	 Amphibia
Xenopus tropicalis	 Amphibia
Zootoca vivipara	 Reptilia
